tweet_id	created_at	full_text	sentiment
1320753071320977409	2020-10-26 15:44:05	@C_Barraud @Goldbroker_com get your egos aside and get it done, you do anything for a single #vote but for the citizens you do nothing! #StimulusNow #STIMULUSPACKAGE #stimuluschecks #pelosi #Vote2020 #trump @JoeBiden @realDonaldTrump @TeamPelosi @SpeakerPelosi @larry_kudlow @stevenmnuchin1 @MarkMeadows	0.5033450126647949
1320753032926167041	2020-10-26 15:43:56	@TMZ Hope the younger voters understand that idiots like this have their own interests in mind, not the interests of their fan base or the communities they came from, the ones that made him famous (LOL).  Don't put more money in his pockets at the cost of your pockets. #Biden	0.21040746569633484
1320753029860233216	2020-10-26 15:43:55	It seems that the media default is that no matter what the news or the source, @realDonaldTrump is always guilty. And no matter what the news or the source #Biden is always innocent. @Timcast @CassandraRules	0.20910075306892395
1320725015713640448	2020-10-26 13:52:36	"Wondering if the below tweet is visible.

Twitter restricts my reach and follower count goes backwards.
#USElection2020 #Modi #Trump https://t.co/Dp6X1fDMaT"	0.331106573343277
1310329481375158277	2020-09-27 21:24:27	"@nytimes THE PRESIDENT’S #TAXES. LONG-CONCEALED RECORDS SHOW #TRUMP’S CHRONIC LOSSES AND YEARS OF TAX AVOIDANCE.
#Election #USA #US #EEUU #GOP #MAGA #Corruption #DonaldTrump #Pence #IRS #Russia #Putin #Mueller #FBI #Hillary #Clinton Tim #Kaine #Biden #Kamala #Harris #Coronavirus #Covid-19 https://t.co/FkOGJsydG2"	0.306526243686676
1320377801044877313	2020-10-25 14:52:53	"Families of loved ones who have died of #COVID19, should be angered &amp; appalled by the cruel mockery displayed by #trump at his rally, when he repeatedly &amp; mockingly said COVID COVID COVID COVID, that's all you hear on TV.

Shameful to the 226K families who have lost loved ones."	0.2149796187877655
1320749185407344641	2020-10-26 15:28:38	".@Rasmussen_Poll: #Trump ahead of #Biden, with 52% approval rating

https://t.co/5xpiT9tC6G"	0.5724721550941467
1320366805416816647	2020-10-25 14:09:12	@TDPattillo If you found out today that #Putin had been paying #DeathTollDonnie a #bounty for every 10,000 American #COVID deaths, would you even be surprised? What if you found out that #Trump proposed that “deal?” https://t.co/4RnMDlmy7q	0.21960636973381042
1320752322633441280	2020-10-26 15:41:06	Senior Fellow At The #CouncilonForeignRelations And Former #CDC Director Jewish #TomFrieden Pleads GUILTY In SEX ABUSE Case Gets NO Jail Time https://t.co/VOlP63dogb #WHO #COVID19 #Epstein #Scamdemic #BillGates #Trump #MAGA	0.22583726048469543
1320737256882294785	2020-10-26 14:41:14	Some smart #Dems think @JoeBiden should go to #Texas. It'd be an electrifying play call, for sure and might be worth it just to troll #Trump.	0.4513687491416931
